vf_dLoss,MinReturn,dLoss,MeanKL,vf_LossAfter,Entropy,LossAfter,Perplexity,LossBefore,AverageDiscountedReturn,vf_LossBefore,MeanKLBefore,MaxReturn,StdReturn,AveragePolicyStd,AverageReturn,NumTrajs,vf_MeanKL,ExplainedVariance,Iteration
0.0,-95795.8454502,0.0273543046579,0.00999804480691,71647610.7478,32.6355862637,-0.0273543046579,1.4909223597e+14,-1.83001354729e-17,-13211.0019899,71647610.7478,0.0,-12904.9800913,7005.75887657,1.0,-69570.8706136,413,0.0,-2.38575807132e-06,1
0.0,-85217.8294586,0.0276489383779,0.00996975895441,71279405.8431,32.6292447836,-0.0276489383779,1.48149762014e+14,-2.80362842289e-16,-13029.4650921,71279405.8431,0.0,-13245.3146241,6714.89914086,0.999724498924,-69411.9386542,412,0.0,1.12466759495e-05,2
0.0,-82800.8724839,0.0276540318746,0.0099882656339,70762728.9994,32.6315894279,-0.0276540318746,1.48497528054e+14,-8.58686925189e-16,-13223.7313179,70762728.9994,0.0,-14494.5892701,5479.30811496,0.999826635413,-69571.9350558,410,0.0,6.56740123406e-06,3
0.0,-84619.8082506,0.026983644964,0.00997287629338,70758286.2862,32.6294921357,-0.026983644964,1.48186411703e+14,2.26537413928e-16,-13077.6051902,70758286.2862,0.0,-19852.6064883,5470.75534672,0.999735573686,-69476.5866703,410,0.0,8.11735534345e-06,4
0.0,-109145.732084,0.0276283429925,0.00997391000463,70671977.3754,32.6286411988,-0.0276283429925,1.48060368063e+14,-5.13370442953e-16,-13116.4732342,70671977.3754,0.0,-16274.8821933,5484.9143177,0.999699075537,-69438.760649,410,0.0,1.09807020668e-05,5
0.0,-87286.303583,0.0275408903021,0.00994211770191,69163054.851,32.6253549991,-0.0275408903021,1.47574610708e+14,-6.53733887445e-16,-13036.8564083,69163054.851,0.0,-12359.7405305,6032.37429061,0.999556655692,-68686.7348998,411,0.0,5.6519216135e-06,6
0.0,-84210.851699,0.0270626909406,0.00996521026103,68918486.7386,32.6249159603,-0.0270626909406,1.47509833946e+14,-1.08218952839e-16,-12969.4849963,68918486.7386,0.0,-19681.9936513,5311.39878247,0.999537804351,-68641.5819269,410,0.0,6.56707464031e-06,7
0.0,-85882.6720198,0.0270352487776,0.00996266759971,68598303.0829,32.6232673508,-0.0270352487776,1.4726684818e+14,-1.16873235867e-15,-12943.3503934,68598303.0829,0.0,-15121.1557003,5945.522943,0.999466258732,-68253.2932759,411,0.0,1.53916540346e-05,8
0.0,-80444.5158301,0.0274400457333,0.00997864911814,66701346.2646,32.6239898338,-0.0274400457333,1.47373284424e+14,-3.15669123273e-16,-12831.0772661,66701346.2646,0.0,-15629.3582188,6221.6226718,0.999497961708,-67363.9216434,412,0.0,8.67058998355e-06,9
0.0,-81072.6944689,0.027343022714,0.0099652643271,66962473.3239,32.6235439568,-0.027343022714,1.47307588713e+14,-1.26332546061e-16,-12738.0229881,66962473.3239,0.0,-14791.1911464,6292.50850944,0.999479224102,-67366.254996,412,0.0,9.38971801911e-06,10
0.0,-102930.76264,0.027253439771,0.00994870267156,66413815.5627,32.620822152,-0.027253439771,1.46907191362e+14,5.87910694853e-17,-12692.4176686,66413815.5627,0.0,-21838.6069754,5622.41985629,0.999361367337,-67227.6563167,410,0.0,1.55920935829e-06,11
0.0,-87126.1885845,0.0275330225227,0.00997394222973,65136714.7904,32.6207629693,-0.0275330225227,1.46898497248e+14,3.55913412017e-16,-12530.7393713,65136714.7904,0.0,-12499.1134973,5686.19736633,0.999359407402,-66653.2927701,410,0.0,1.35677195612e-05,12
