AverageReturn,ExplainedVariance,dLoss,LossBefore,MaxReturn,MeanKL,NumTrajs,vf_dLoss,Iteration,Perplexity,vf_LossAfter,StdReturn,vf_MeanKL,AveragePolicyStd,Entropy,AverageDiscountedReturn,MinReturn,vf_LossBefore,LossAfter,MeanKLBefore
-321688.392966,-0.0516635063323,0.0129674978906,2.92391237972e-16,-107194.980312,0.00999398044133,414,0.0,3836,78877173.7727,986.8010218,64570.7617803,0.0,0.545286735112,18.1834024382,-56415.8517756,-523021.244778,986.8010218,-0.0129674978906,0.0
-321993.635225,-0.0375882969548,0.0108921190813,-2.45164459246e-16,-177786.693069,0.00641246423377,412,108.101409538,3837,78056550.3765,896.712692519,69848.7970188,0.00317339821139,0.545057349676,18.1729441268,-55523.782795,-814323.928726,1004.81410206,-0.0108921190813,0.0
-325166.201949,-0.0617435961592,0.012618981544,3.04272010536e-16,-141881.055775,0.00998543063719,411,157.439168579,3838,77541922.1754,736.52024633,68698.5812012,0.00898250742908,0.544899307611,18.1663292794,-57123.6014481,-545830.374114,893.959414909,-0.012618981544,0.0
-317027.031691,-0.0699504117708,0.0103193585276,-8.77916022361e-17,-169157.485063,0.00641341295674,411,99.0589268309,3839,77614676.0921,597.780655985,64290.8146499,0.00573333023135,0.544939423592,18.1672670922,-55635.7409965,-489680.279713,696.839582816,-0.0103193585276,0.0
-320801.473024,-0.0664587113631,0.013354391064,2.56644635683e-16,-156542.496246,0.00999043419741,412,78.096057452,3840,77010011.7171,536.302664688,66494.5632097,0.00454852615565,0.544735560222,18.1594459937,-56347.8767333,-516811.203946,614.39872214,-0.013354391064,0.0
-317333.436841,-0.0598819640849,0.0127644098805,-7.75198714464e-17,-173506.907819,0.00999419481958,411,57.5334666457,3841,77105948.2378,465.995122239,65193.1078026,0.00337411443114,0.544759807037,18.1606909852,-55631.9887244,-574320.498609,523.528588885,-0.0127644098805,0.0
-318780.128038,-0.0604895161737,0.0129332317934,7.41802343924e-16,-162510.328843,0.00999487537127,410,83.2098790105,3842,76989373.1185,381.841006756,61726.6174009,0.00948094190812,0.544715872857,18.1591779588,-56415.1219888,-494272.299887,465.050885766,-0.0129332317934,0.0
-322384.402102,-0.0686642543922,0.0106133518826,-9.16516179548e-18,-168406.78038,0.00640452330069,410,60.3059881104,3843,76781622.2161,331.319169854,68499.0421988,0.00694065556057,0.544626997577,18.1564758754,-55840.4426057,-583546.793194,391.625157964,-0.0106133518826,0.0
-324254.839408,-0.0556167497638,0.0100691924152,-9.33211290094e-17,-150636.979549,0.0064044055205,410,45.389044801,3844,76715316.0398,291.777754716,66197.7616634,0.00526829589559,0.544617093691,18.155611934,-56250.0948011,-686180.413603,337.166799517,-0.0100691924152,0.0
-321375.133771,-0.0608757267274,0.0130366224576,3.35073246319e-16,-166319.723136,0.00999923643942,411,33.8259598502,3845,76544758.4286,255.691262827,68393.5193832,0.00395293837469,0.544582622841,18.1533862052,-56481.3315971,-589393.298531,289.517222677,-0.0130366224576,0.0
-323098.216417,-0.0669182957276,0.0121547915452,-3.14479389455e-16,-145862.213834,0.00999388461847,411,26.8270715441,3846,76785443.092,230.310702017,70567.1374918,0.00314956374613,0.544666185629,18.1565256371,-56591.9468477,-535687.415299,257.137773561,-0.0121547915452,0.0
-323891.507812,-0.0592593919276,0.0134821035742,3.84495003186e-16,-175990.703942,0.00998513537101,410,38.9155100892,3847,75780047.9044,190.153543223,62265.5581425,0.00888254032845,0.544362266726,18.1433455957,-56124.440308,-486679.01008,229.069053312,-0.0134821035742,0.0
-317390.718223,-0.0688916457489,0.010249923636,5.42970990818e-17,-168889.93559,0.00640444631529,411,25.933619584,3848,75655017.0408,159.636610508,67701.9941195,0.00599432129317,0.544351516898,18.1416943151,-55587.6790169,-575472.499287,185.570230092,-0.010249923636,0.0
-316436.968914,-0.0434291236882,0.0113153065292,4.17409272155e-16,-145306.71214,0.00640483700568,413,19.7711374604,3849,75420704.3841,141.958374559,72280.8973603,0.00460178817729,0.544311589256,18.1385923892,-55464.7138569,-710891.386123,161.729512019,-0.0113153065292,0.0
-318883.973434,-0.0686929475627,0.0100183255221,-1.07541530524e-16,-117700.590137,0.00640535201971,411,15.0126798425,3850,75180133.7305,125.903384589,65618.2635438,0.00351960049975,0.544254650314,18.1353975749,-56040.667453,-574264.836899,140.916064432,-0.0100183255221,0.0
