MinReturn,StdReturn,dLoss,MeanKL,vf_dLoss,AverageReturn,Perplexity,LossAfter,vf_LossBefore,AverageDiscountedReturn,vf_MeanKL,ExplainedVariance,Iteration,MeanKLBefore,vf_LossAfter,AveragePolicyStd,MaxReturn,Entropy,LossBefore,NumTrajs
-8.18558307095e+12,281219085748.0,0.00190640806955,0.00993012641445,0.0,-14728565137.9,1.4909223597e+14,-0.00190640806955,9.22712423345e+21,-3067464316.75,0.0,-5.88462611972e-12,1,0.0,9.22712423345e+21,1.0,-40076.7885407,32.6355862637,-2.24261316307e-16,1018
-2.72149914926e+12,91036433336.6,0.00214429444385,0.00994398807532,0.0,-3908818826.79,1.49088759298e+14,-0.00214429444385,9.81410740066e+20,-650609900.412,0.0,-1.42130751613e-11,2,0.0,9.81410740066e+20,1.00000151798,-36256.4550366,32.6355629445,-4.21776890867e-16,1017
-6.26966223972e+12,196633684489.0,0.00231330042588,0.0099884367044,0.0,-6385791063.87,1.50154716505e+14,-0.00231330042588,4.64670461019e+21,-974615697.248,0.0,-5.2342574719e-12,3,0.0,4.64670461019e+21,1.00031374022,-37952.0481023,32.6426873218,-4.42965960244e-16,1016
-2.72052599541e+12,88530652210.0,0.002907118792,0.00644586551113,0.0,-3558192740.26,1.5054429743e+14,-0.002907118792,8.85574420233e+20,-572651475.041,0.0,-1.37336808592e-11,4,0.0,8.85574420233e+20,1.00042788964,-45720.1004546,32.6452784919,9.51011026446e-17,1015
-4.04201456481e+12,129302730728.0,0.00345415900558,0.00986881686701,0.0,-5370119048.94,1.49078656402e+14,-0.00345415900558,1.99324227509e+21,-870982071.813,0.0,-1.03019814901e-11,5,0.0,1.99324227509e+21,1.00000374713,-32450.571128,32.6354951779,1.61846254293e-16,1014
-1.50836605405e+12,47455020847.3,0.00246103769879,0.00984233302797,0.0,-1753837421.63,1.48363744804e+14,-0.00246103769879,2.61145325776e+20,-321579792.78,0.0,-2.79607448306e-11,6,0.0,2.61145325776e+20,0.999793749488,-32149.3656342,32.6306881096,1.89644560481e-17,1017
-804569016432.0,25678089382.6,0.00222862932367,0.0097654120374,0.0,-953750048.455,1.48475207426e+14,-0.00222862932367,7.79226704323e+19,-153598283.333,0.0,-1.9944268459e-11,7,0.0,7.79226704323e+19,0.999826245995,-35948.8955252,32.6314391069,3.39146238148e-16,1014
-543116380311.0,20328076872.5,0.00214214032669,0.00644801972509,0.0,-1103987984.07,1.46854232395e+14,-0.00214214032669,4.80975417618e+19,-197797029.351,0.0,-7.94417864824e-11,8,0.0,4.80975417618e+19,0.999352653886,-53640.3465672,32.6204615944,5.66624979021e-18,1017
-92939032397.7,2924793177.92,0.002990148449,0.00986526535533,0.0,-108421131.527,1.49899244432e+14,-0.002990148449,9.77667278934e+17,-20531157.1582,0.0,-1.97420746417e-10,9,0.0,9.77667278934e+17,1.00024625115,-50337.4674203,32.6409844805,3.76857928633e-18,1015
-1.48102231201e+12,48431146826.7,0.00323584744815,0.00990013403627,0.0,-2076467457.83,1.47746497627e+14,-0.00323584744815,2.68264961226e+20,-440001199.809,0.0,-2.39548381131e-11,10,0.0,2.68264961226e+20,0.999614694392,-47821.8769661,32.6265190672,-5.71450043094e-19,1016
