Iteration,AverageReturn,AveragePolicyStd,dLoss,LossAfter,vf_dLoss,NumTrajs,MaxReturn,StdReturn,vf_MeanKL,vf_LossAfter,MeanKLBefore,Perplexity,MeanKL,AverageDiscountedReturn,MinReturn,ExplainedVariance,vf_LossBefore,LossBefore,Entropy
1,4497.16335217,1.0,0.0229547501117,-0.0229547501117,0.0,209,4604.92864867,52.2652363465,0.0,85727.1566262,0.0,1.4909223597e+14,0.00996405582888,452.908743744,4323.9107369,-0.0014668792886,85727.1566262,-7.71312838161e-17,32.6355862637
2,4496.7185364,0.999819847701,0.0229092086229,-0.0229092086229,0.0,209,4618.20018087,57.0278283779,0.0,85684.5707615,0.0,1.48474743732e+14,0.00994123752653,452.660328386,4303.74891826,-0.00160656334826,85684.5707615,2.92282944259e-16,32.6314359838
3,4502.22336238,0.999869607665,0.0227005870368,-0.0227005870368,12597.5397007,209,4624.06100256,54.0997437057,0.00596612035128,73316.6428096,0.0,1.48644391056e+14,0.00994916591607,452.312054723,4312.53778987,-0.00139344474166,85914.1825103,-6.77259418138e-16,32.6325779321
4,4500.50028294,0.999876348629,0.0231500761917,-0.0231500761917,9357.05763585,209,4606.88284604,56.4394144571,0.00446548001075,63882.1885233,0.0,1.48666892799e+14,0.00997710462517,453.54151792,4320.30990814,-0.00146481722106,73239.2461592,9.58667488827e-16,32.6327293003
5,4505.87083056,0.999765972576,0.0228225088593,-0.0228225088593,7281.99137969,209,4606.62422037,52.8143868635,0.00349469968761,56810.4547907,0.0,1.48289055712e+14,0.00995343891246,452.466664224,4262.41437424,-0.00156344428872,64092.4461704,4.86585784955e-17,32.630184564
6,4510.98701942,0.999547294194,0.0228793300703,-0.0228793300703,10555.7527078,209,4638.46384686,49.9007665232,0.00983503557569,46364.3160113,0.0,1.47543587376e+14,0.0099848426487,453.330384851,4353.3732987,-0.00171269233137,56920.0687191,-3.55547595618e-16,32.6251447557
7,4510.44057876,0.999531079858,0.0231599173055,-0.0231599173055,7251.55804942,209,4610.49226287,47.791985038,0.00684081682738,39107.5329354,0.0,1.47487888626e+14,0.00997720332263,453.018939856,4342.66833744,-0.00147636872928,46359.0909848,-2.93821320278e-17,32.6247671773
8,4516.11353721,0.999417258527,0.0225647978225,-0.0225647978225,5310.310235,209,4635.92409446,56.3016085466,0.00505278529918,33878.6124437,0.0,1.47100439473e+14,0.00995615373198,454.310632867,4270.66210654,-0.00157409933037,39188.9226787,-1.80746433238e-16,32.6221367311
9,4517.25756061,0.999388393582,0.0230332217136,-0.0230332217136,4051.43613574,209,4615.05915558,48.2596601568,0.00387976345671,29865.4329124,0.0,1.47001992554e+14,0.00999025203922,454.494497687,4322.75103992,-0.00155917507354,33916.8690482,6.93833082429e-16,32.6214672574
10,4516.53135336,0.999403484436,0.0230778765577,-0.0230778765577,3184.78613031,209,4612.17164664,47.2441411792,0.00306510478448,26670.8603331,0.0,1.47051888758e+14,0.00999348365319,454.019269062,4303.78514106,-0.00158985346181,29855.6464634,1.41955559482e-16,32.6218066252
11,4521.24337819,0.99909256964,0.0231048188045,-0.0231048188045,4704.6316176,209,4641.08060487,54.5916231844,0.00880244729347,22013.5094752,0.0,1.4600242146e+14,0.00998626303552,453.913654121,4257.11841976,-0.00124010521125,26718.1410928,1.55796693993e-16,32.6146443228
12,4527.31888156,0.998861651286,0.0233281653298,-0.0233281653298,3314.73678799,209,4626.18988001,46.5087909096,0.00627024173787,18767.2189788,0.0,1.45228212178e+14,0.00996835190597,453.487805488,4360.83925519,-0.00158450323614,22081.9557667,-9.00009466209e-16,32.6093274982
13,4528.69074402,0.9987849109,0.0229506631671,-0.0229506631671,2451.74512266,209,4630.75787009,53.2251972468,0.00467493808953,16324.9403228,0.0,1.44971728798e+14,0.0099494238021,454.638552383,4247.4929505,-0.00157519587264,18776.6854455,-1.64584985725e-16,32.6075598655
14,4528.12894037,0.998751091372,0.0228909511244,-0.0228909511244,1884.78912836,209,4623.15850549,47.3951129557,0.00361545277977,14437.5668941,0.0,1.44858170236e+14,0.00997659692498,454.596978582,4376.19040575,-0.00142590749057,16322.3560225,6.05601693195e-16,32.6067762434
15,4529.97182621,0.998606707247,0.018404999434,-0.018404999434,1496.29821459,209,4631.68971657,51.8833686404,0.00288354652604,12950.3575653,0.0,1.44377322644e+14,0.00640481358058,454.489978946,4353.00306901,-0.00142510248531,14446.6557799,-2.57792723904e-16,32.6034512847
16,4529.73498788,0.998490732577,0.0228766931518,-0.0228766931518,2222.15265751,209,4648.79212728,47.2614633524,0.0083314681238,10728.0295096,0.0,1.43992044694e+14,0.00993954240887,454.211563724,4387.08560257,-0.00145462943406,12950.1821671,-9.90561168444e-16,32.6007791688
17,4533.17562053,0.998359469288,0.0232590949007,-0.0232590949007,1575.03476525,209,4631.1506567,49.2625411409,0.00596739366128,9167.40182954,0.0,1.43555214099e+14,0.00997297621724,455.060769081,4316.2555689,-0.00134977998117,10742.4365948,1.3202410988e-16,32.5977408444
18,4539.34465913,0.998343002601,0.0184761396031,-0.0184761396031,1179.01599822,209,4642.90325665,45.9095105072,0.00450043305634,8017.04674602,0.0,1.43498192416e+14,0.00641100170699,454.820606346,4400.3830058,-0.00145477000253,9196.06274424,-1.36401257115e-16,32.5973435546
19,4536.7452066,0.998282194558,0.0230194699833,-0.0230194699833,908.525153493,209,4656.43668728,49.0255314892,0.003488029516,7097.23016305,0.0,1.43296310479e+14,0.00996548916908,454.922200004,4302.51240446,-0.00136063934392,8005.75531654,1.3205810714e-16,32.5959357036
20,4538.69949311,0.998281077977,0.0229832098844,-0.0229832098844,1315.32275816,209,4631.77157824,40.9658826417,0.00980465826682,5789.6640779,0.0,1.43291181589e+14,0.00998755186219,454.953233549,4349.61572045,-0.00146235368571,7104.98683606,-3.18384340689e-17,32.5958999108
21,4545.40146736,0.998063056975,0.0232071821133,-0.0232071821133,908.536422309,209,4651.57657133,41.5163203216,0.00685604481889,4895.82155766,0.0,1.42573557969e+14,0.00996782474739,455.897752462,4413.08134389,-0.00147493062027,5804.35797997,3.64119154817e-16,32.5908791787
22,4543.76464285,0.997820230842,0.0231967561771,-0.0231967561771,662.001810479,209,4638.18657122,46.0176491815,0.00503950324533,4231.80655247,0.0,1.41775536978e+14,0.00996410800375,456.004171017,4381.81018005,-0.00142241915252,4893.80836295,4.7350108948e-16,32.5852661974
23,4552.68056071,0.99777441977,0.0229440378096,-0.0229440378096,507.842665304,209,4666.83016385,47.7679447907,0.00389042081916,3740.33361115,0.0,1.41624177036e+14,0.00998308910016,456.625280518,4370.57838191,-0.00174218206063,4248.17627646,1.18496600092e-15,32.5841980244
24,4549.31097782,0.997426236683,0.0231286388427,-0.0231286388427,398.133850839,209,4628.40368578,41.8264177671,0.00306534918511,3336.38174383,0.0,1.40490161981e+14,0.0099550557267,456.676274721,4409.15176694,-0.00119269645983,3734.51559467,6.22315596184e-16,32.5761585808
