dLoss,AverageDiscountedReturn,ExplainedVariance,Perplexity,MaxReturn,MeanKL,LossAfter,vf_MeanKL,AveragePolicyStd,LossBefore,StdReturn,MinReturn,vf_dLoss,Iteration,AverageReturn,vf_LossBefore,Entropy,MeanKLBefore,NumTrajs,vf_LossAfter
0.00671815827123,441.555252569,-0.00542143853415,1.4909223597e+14,4973.42720434,0.00642588126073,-0.00671815827123,0.0,1.0,1.00483759177e-16,338.830925759,76.0132260253,0.0,1,456.420210127,37427.240554,32.6355862637,0.0,2299,37427.240554
0.0064362927812,489.474593419,-0.00428681744164,1.49175339033e+14,5535.15515827,0.00642971552151,-0.0064362927812,0.00886203646314,1.00002446872,3.39744410731e-17,423.688722984,102.44420486,9940.26092422,2,514.93454798,56272.1075021,32.6361435021,0.0,2013,46331.8465778
0.00609613218095,532.148549281,-0.000840262274489,1.49557088189e+14,5007.43407843,0.00640085705784,-0.00609613218095,0.0041721968902,1.00013592538,1.78270555443e-16,487.377955837,101.793320767,8726.14105746,3,566.918359068,70553.9748704,32.6386992967,0.0,1929,61827.8338129
0.00587308425618,577.976987763,-0.00254769568234,1.49104476809e+14,6251.04870541,0.00640193967092,-0.00587308425618,0.00915848315661,1.00000473033,1.29291892517e-16,659.271663155,71.7153196931,19607.5346566,4,635.122406414,109303.692303,32.6356683628,0.0,1730,89696.1576461
0.00874367501976,626.924918079,-0.00285990597608,1.49647846015e+14,6301.97935604,0.00999330505163,-0.00874367501976,0.006267275854,1.0001632803,1.47937229001e-16,689.106906981,96.7173628656,13252.4340784,5,696.642503192,88299.1033858,32.6393059566,0.0,1566,75046.6693074
0.00623585765384,730.672323708,-0.00185118003331,1.49747400179e+14,9275.04079075,0.009852535142,-0.00623585765384,0.00869799724073,1.00019347735,-8.25373984528e-17,856.802752932,101.743751809,18586.9702373,6,833.956058055,106144.094875,32.6399709917,0.0,1343,87557.1246381
0.00595813349493,804.816768363,-0.00287132446189,1.49253149074e+14,8010.29555078,0.00994278643929,-0.00595813349493,0.0,1.00005108907,-7.80743535478e-17,1053.95849687,72.6467091023,0.0,7,955.413874927,134676.440405,32.6366649673,0.0,1238,134676.440405
0.0063751599543,852.232737416,-0.0027886088706,1.48110517564e+14,8528.57841223,0.00999152070086,-0.0063751599543,0.0,0.999718671317,-2.78104181684e-16,1082.39363125,108.427298162,0.0,8,1021.64200725,126428.425812,32.6289798513,0.0,1106,126428.425812
0.00577547415529,947.589493152,-0.00213311273495,1.47803417588e+14,7640.48434529,0.0099593516841,-0.00577547415529,0.0,0.99963006891,-8.97446095246e-17,1206.0989109,104.239687681,0.0,9,1160.33034202,155059.175308,32.6269042472,0.0,1027,155059.175308
0.00496427765313,1029.0970079,-0.00244154996588,1.47703714565e+14,8070.95691879,0.00643052751119,-0.00496427765313,0.0,0.999601156638,-5.65468805726e-17,1332.729639,94.7202560338,0.0,10,1281.61450151,182846.435198,32.6262294545,0.0,973,182846.435198
0.00518695045135,1106.95345436,-0.00260669141646,1.4575714263e+14,7438.87619262,0.00669637722646,-0.00518695045135,0.0,0.999025839715,-1.06138899982e-16,1306.78553612,101.560079938,0.0,11,1370.59068473,158606.638859,32.612962946,0.0,881,158606.638859
0.00585850131854,1168.28648922,-0.00171859363358,1.44955109505e+14,8289.22683005,0.00996992987037,-0.00585850131854,0.0,0.998787244892,5.9825682175e-17,1390.41645238,102.02300837,0.0,12,1458.69109408,175862.427173,32.6074452208,0.0,840,175862.427173
0.00369124130182,1177.91365103,-0.00240273269859,1.44681511189e+14,7245.32987036,0.0072969717651,-0.00369124130182,0.0,0.99870576934,-1.48424955294e-18,1414.85054192,123.463297552,0.0,13,1464.39550678,181662.842118,32.605555968,0.0,868,181662.842118
0.0052396231999,1202.21195522,-0.00239279083544,1.43542103298e+14,8626.3149071,0.00989825315559,-0.0052396231999,0.0,0.998365125301,-4.66669276873e-18,1396.28758712,74.1350737712,0.0,14,1488.13791217,178581.550179,32.5976495109,0.0,866,178581.550179
0.0055188487134,1294.35929277,-0.00276026604429,1.42179362457e+14,9265.47496981,0.00973890609907,-0.0055188487134,0.0,0.997954148492,1.6234847372e-16,1519.10961755,127.447614749,0.0,15,1630.1324837,198940.830272,32.5881104924,0.0,796,198940.830272
0.00490658044139,1293.71378823,-0.00255150020054,1.41800965625e+14,6700.07326399,0.00998949488013,-0.00490658044139,0.0,0.997842272642,1.11810623919e-16,1461.98229715,89.482918322,0.0,16,1607.07387027,175973.086173,32.5854455398,0.0,786,175973.086173
