LossAfter,MeanKLBefore,vf_LossAfter,Perplexity,AverageDiscountedReturn,MeanKL,Entropy,NumTrajs,MaxReturn,ExplainedVariance,dLoss,vf_dLoss,StdReturn,vf_MeanKL,MinReturn,AveragePolicyStd,vf_LossBefore,AverageReturn,Iteration,LossBefore
-0.0477451871613,0.0,34455.7546521,1.4909223597e+14,49.9783806468,0.00999197955846,32.6355862637,3376,399.052816919,0.000465435521659,0.0477451871613,0.0,227.753531236,0.0,-1650.5711894,1.0,34455.7546521,31.9697793143,1,7.75022561092e-17
-0.0483574677771,0.0,27495.0762974,1.49380504181e+14,61.6192237413,0.00996936183302,32.637517886,3399,382.947635282,0.000158156174524,0.0483574677771,3221.4598532,213.062937421,0.00295883260662,-1667.81950664,1.00008432573,30716.5361506,45.6814759926,2,1.00406407969e-17
-0.0384598590905,0.0,19608.1291546,1.49535124235e+14,74.3121041443,0.00640532246026,32.6385524259,3555,482.204591294,0.000439486942514,0.0384598590905,3448.51244078,194.535539663,0.00622209858479,-1502.71622667,1.00012982143,23056.6415954,61.2726656152,3,1.4119885971e-16
-0.0382903850479,0.0,15320.6566171,1.49169981059e+14,85.4610902179,0.00640611247724,32.6361075841,3647,398.706163795,0.000188280289815,0.0382903850479,2027.37426385,180.891386151,0.00370673547424,-1755.55337911,1.00002385479,17348.0308809,74.8220896802,4,-1.1760671991e-17
-0.0470630191911,0.0,10793.9710915,1.47818796191e+14,94.8080320906,0.00997328540767,32.6270082895,3636,448.273446683,0.000206185113506,0.0470630191911,2127.96108218,167.851473963,0.00763193084297,-1443.32580884,0.999628379625,12921.9321737,85.5547274708,5,-1.58816036239e-17
-0.014174967585,0.0,63215.692595,1.48129102817e+14,95.0827244984,0.00993311085294,32.6291053258,3776,396.09625864,2.46406121711e-05,0.014174967585,9148.8992424,809.633992977,0.0043685697322,-48825.8705407,0.999719557289,72364.5918374,88.3377525744,6,-1.35442363636e-18
-0.0385019994989,0.0,6820.53919895,1.47023257528e+14,111.851646749,0.00640216649378,32.6216119047,3779,468.417956415,0.000255522312354,0.0385019994989,834.969533614,149.129392311,0.00321103170918,-1409.90854812,0.999394321237,7655.50873256,105.817820119,7,-7.15258570596e-18
-0.046916963831,0.0,4813.77528373,1.46517603739e+14,119.865145133,0.00999367856489,32.6181666992,3916,361.432943209,-0.000109475424516,0.046916963831,876.026678804,135.018963182,0.00661900672372,-1019.34945418,0.999245198617,5689.80196254,115.717402343,8,-1.07841595258e-16
-0.0467416684907,0.0,3506.22766473,1.45690956122e+14,130.491824504,0.00999850834246,32.6125087553,4071,390.580296332,-5.99774936616e-05,0.0467416684907,442.682228013,120.733404566,0.00340146833932,-1030.00776738,0.99899950211,3948.90989274,128.442870462,9,-1.60139215245e-16
-0.0196321828146,0.0,13244.5008642,1.44401507596e+14,129.761643428,0.00986296437172,32.6036187828,4060,392.247007257,-9.56176967957e-05,0.0196321828146,1569.12199691,480.839830364,0.00302109436783,-29580.0331991,0.99861375596,14813.6228611,128.055863569,10,2.36631234249e-17
-0.0371151026734,0.0,2305.73010466,1.44457429222e+14,140.160553517,0.00640940727043,32.6040059726,4139,471.57604257,-0.000286867899623,0.0371151026734,398.687330491,110.227389554,0.00604327048306,-1284.45873736,0.998630923579,2704.41743516,139.837900784,11,5.58224045332e-17
-0.0463095890517,0.0,2228.12034666,1.42610580701e+14,143.417242292,0.00998508358961,32.5911388196,4266,461.361066921,-0.000624676566259,0.0463095890517,370.020486669,112.083971282,0.00561935526135,-1357.46651824,0.998072733951,2598.14083333,143.461486903,12,-1.40050054721e-18
-0.0462578822723,0.0,1348.7811184,1.42199041278e+14,153.464816205,0.00998488966153,32.5882488912,4356,467.275880643,-0.00123861100757,0.0462578822723,280.44071939,89.6373236202,0.00840741097185,-837.941281755,0.997948237604,1629.22183779,155.294343472,13,-2.19988554303e-16
-0.0458509568639,0.0,1042.55825581,1.40619347801e+14,155.266515488,0.00999513345066,32.5770776947,4367,401.726125548,-0.00174082140345,0.0458509568639,159.859670643,86.0127242818,0.00487217191967,-711.635759636,0.997464760156,1202.41792646,157.500290108,14,-9.09943925961e-17
-0.045741584158,0.0,915.804041322,1.38783340769e+14,160.478380139,0.00998862247908,32.5639351335,4395,404.52101071,-0.00154593889996,0.045741584158,121.030002808,81.7205938276,0.0037133970867,-932.604536829,0.996895964701,1036.83404413,163.366963275,15,6.40682061641e-17
