LossBefore,Entropy,vf_dLoss,LossAfter,StdReturn,MinReturn,vf_MeanKL,ExplainedVariance,NumTrajs,vf_LossBefore,dLoss,AveragePolicyStd,Perplexity,MaxReturn,MeanKLBefore,Iteration,AverageDiscountedReturn,vf_LossAfter,MeanKL,AverageReturn
-2.9658359766e-17,32.6355862637,0.0,-0.0177700633505,27.2145590252,-1536.84821108,0.0,-0.00310846079571,209,9238.15334713,0.0177700633505,1.0,1.4909223597e+14,-1379.65313293,0.0,1,-104.470468826,9238.15334713,0.00640207875606,-1467.46453607
6.45157505303e-16,32.6393131362,1130.14049052,-0.022237924336,28.4011447919,-1528.94667191,0.00412291190023,-0.00210604405121,209,9190.42544891,0.022237924336,1.0001621567,1.4964892042e+14,-1389.20076241,0.0,2,-104.170523511,8060.28495839,0.00997199538185,-1464.12545219
4.59277485793e-16,32.6374428859,873.931665061,-0.0179127829896,28.8260290017,-1518.7625074,0.00320568483422,-0.00247638694451,209,8018.45149976,0.0179127829896,1.00008085922,1.49369301046e+14,-1362.65169645,0.0,3,-104.073020534,7144.5198347,0.00640772143132,-1460.28654475
1.16325875036e-16,32.6363003437,1285.09750122,-0.0225951538526,29.0866687971,-1520.49653918,0.0091587035654,-0.00284898041835,209,7164.81052208,0.0225951538526,1.00003118598,1.49198737778e+14,-1386.13520493,0.0,4,-103.931998502,5879.71302085,0.00997135826862,-1462.05582598
1.26809780114e-17,32.6378625807,882.914398115,-0.02267608322,31.6315323572,-1525.21777338,0.00636786861159,-0.00251062248713,209,5839.71406234,0.02267608322,1.00009918249,1.4943200373e+14,-1361.50314562,0.0,5,-102.91602016,4956.79966422,0.00998918942982,-1456.46190158
4.91723620886e-16,32.6382873545,648.602870453,-0.0177227285874,34.1119443399,-1518.75195372,0.00471698372713,-0.00238707845172,209,4946.99318072,0.0177227285874,1.00011770613,1.49495492001e+14,-1328.58615461,0.0,6,-102.310404778,4298.39031026,0.00641239082561,-1454.75792091
6.16000605123e-16,32.6401785182,499.339447487,-0.0223472016927,30.1180039408,-1525.80757159,0.0036534002201,-0.0026282714806,209,4303.57693572,0.0223472016927,1.00019998354,1.49778479956e+14,-1326.42863362,0.0,7,-103.156932512,3804.23748823,0.00998937910327,-1456.21545859
2.48779200324e-16,32.6398143111,703.61134284,-0.0224737048478,31.0058148774,-1516.33772233,0.0099968061435,-0.00270429346962,209,3766.73859478,0.0224737048478,1.00018428474,1.49723939512e+14,-1333.44932139,0.0,8,-102.619233711,3063.12725194,0.00999254909791,-1449.61473977
-6.28779325258e-17,32.6401952359,481.188443579,-0.0226830698385,32.8645623559,-1526.38701246,0.00692363358641,-0.00204724699494,209,3060.26465269,0.0226830698385,1.00020085733,1.49780983927e+14,-1352.747869,0.0,9,-102.758473136,2579.07620911,0.00998776648896,-1448.81977821
1.38869458197e-15,32.6419721588,347.539720118,-0.0222608456827,32.5384284621,-1518.74761127,0.00504627145268,-0.00248950500969,209,2567.85876572,0.0222608456827,1.00027832056,1.50047369796e+14,-1339.24899166,0.0,10,-102.612187255,2220.3190456,0.00998460167042,-1446.21683363
-6.63078311025e-16,32.6425386877,257.649972191,-0.018175594937,37.2220508096,-1518.70337891,0.00376696715388,-0.00271869757757,209,2189.21306701,0.018175594937,1.00030298067,1.50132400042e+14,-1338.25529145,0.0,11,-101.167886687,1931.56309482,0.00640925811334,-1435.08767782
1.18851446494e-15,32.6431261369,203.769140304,-0.0225320834183,36.3953697318,-1514.60190944,0.00299368251466,-0.00272072241731,209,1933.66320138,0.0225320834183,1.00032855218,1.50220621117e+14,-1338.19583527,0.0,12,-101.196843758,1729.89406108,0.0099864517045,-1436.06420291
1.16755940376e-15,32.6444013642,294.817061854,-0.0227336778748,39.3668454627,-1520.35584426,0.00842940781049,-0.00260668882852,209,1710.2947663,0.0227336778748,1.00038406274,1.50412308752e+14,-1330.69546335,0.0,13,-101.041241468,1415.47770444,0.00998291821966,-1428.23624861
-2.14679948459e-16,32.6442634167,205.239567452,-0.0225962887965,39.0320802598,-1520.16493943,0.00593300423979,-0.00314237333584,209,1405.29287783,0.0225962887965,1.00037812518,1.50391561188e+14,-1331.97964123,0.0,14,-100.606618508,1200.05331038,0.00998471922014,-1423.13029272
-2.32859983289e-16,32.6446131916,151.280824366,-0.0179317899308,37.9307775523,-1501.51368274,0.00440751990754,-0.0032402782484,209,1193.46014626,0.0179317899308,1.00039332949,1.50444173574e+14,-1306.57421764,0.0,15,-100.093889562,1042.1793219,0.00640206211784,-1419.16476514
-3.10522474294e-16,32.6453089254,117.507873178,-0.0183494851541,38.5755289006,-1504.05720517,0.00344232757453,-0.00317872745572,209,1043.78460003,0.0183494851541,1.00042357813,1.50548879087e+14,-1324.8336908,0.0,16,-100.479309219,926.276726848,0.00640414966982,-1420.61258398
1.96801639313e-16,32.6454876693,167.17822686,-0.017680008822,43.4744298945,-1502.64965011,0.00951255227738,-0.00311159537835,209,917.695747678,0.017680008822,1.00043134603,1.50575791184e+14,-1313.37804932,0.0,17,-100.409335821,750.517520817,0.00640477719052,-1414.42396408
-3.17793638295e-16,32.6446709078,115.487738752,-0.0223837778811,41.7015765642,-1507.83343794,0.00665424740854,-0.00280894321406,209,750.195141068,0.0223837778811,1.00039601343,1.50452856899e+14,-1310.77645133,0.0,18,-100.109369562,634.707402316,0.00998995699485,-1413.78674856
5.69632592026e-16,32.6458953413,83.1734598989,-0.017879849004,40.2169518343,-1501.34092602,0.00483562208739,-0.00214143146317,209,629.035685158,0.017879849004,1.00044952948,1.50637189238e+14,-1289.81397711,0.0,19,-98.6786531561,545.862225259,0.00641436736137,-1406.56387522
3.9356078205e-16,32.6458977847,62.8243260953,-0.0180730021293,43.6012956597,-1497.88227786,0.00367637095361,-0.00253891724385,209,542.011823519,0.0180730021293,1.00044956707,1.50637557308e+14,-1303.90601517,0.0,20,-99.2327572281,479.187497423,0.0064018070259,-1402.82503911
-2.69024568704e-16,32.6483846484,48.8191407811,-0.0223589633035,39.6412262208,-1494.79460056,0.00287117940548,-0.00315958877541,209,474.670714444,0.0223589633035,1.00055775731,1.51012638579e+14,-1302.42171408,0.0,21,-99.6799050416,425.851573663,0.00997408377788,-1397.53304774
-1.08144434396e-15,32.650416515,73.2711291966,-0.0175331436504,41.6305462917,-1495.54650407,0.00837753745643,-0.00260165715539,209,428.325672173,0.0175331436504,1.00064633913,1.51319788044e+14,-1300.90189974,0.0,22,-98.5609970621,355.054542976,0.00641043056797,-1399.76257273
4.82650602101e-16,32.6499901222,51.1395276868,-0.0175596784676,42.1694457305,-1481.93008157,0.00591594285614,-0.00319195165295,209,352.734356341,0.0175596784676,1.00062790365,1.51255280138e+14,-1304.47187347,0.0,23,-98.2528425816,301.594828654,0.00640544572864,-1395.1182463
1.07514210188e-15,32.6506442674,37.0856459457,-0.0178790184281,43.6622488769,-1486.72646772,0.00432372839823,-0.00302231482125,209,297.420582157,0.0178790184281,1.00065636291,1.51354255416e+14,-1297.2941261,0.0,24,-97.6446530683,260.334936211,0.00640342028771,-1386.03758313
2.04578512557e-16,32.6517840582,28.2713905379,-0.022529171894,41.8436530185,-1477.07732496,0.003316115634,-0.00325712862879,209,257.879691429,0.022529171894,1.00070598523,1.51526865956e+14,-1281.98415775,0.0,25,-97.1094466383,229.608300891,0.00997832758093,-1379.9500277
