Entropy,StdReturn,dLoss,MeanKLBefore,AverageDiscountedReturn,ExplainedVariance,LossAfter,AverageReturn,vf_LossBefore,MaxReturn,vf_dLoss,vf_LossAfter,Iteration,LossBefore,Perplexity,MinReturn,MeanKL,AveragePolicyStd,NumTrajs,vf_MeanKL
32.549725494,66.121035929,0.0338099896264,0.0,159.176739608,-0.00637385682946,-0.0338099896264,162.813607289,649.944965697,460.439000003,88.430157714,561.514807983,15,7.19584072967e-17,1.36825224538e+14,-559.255974673,0.00999464115618,0.99629857989,4670,0.00513360819153
32.5398792946,64.9632739951,0.0268362779494,0.0,162.853921319,-0.00659265599894,-0.0268362779494,167.009594408,561.585543237,514.718589528,67.1854488862,494.400094351,16,1.17416651599e-16,1.35484626824e+14,-745.672836052,0.00641168448358,0.995874570519,4708,0.0039257969998
32.5298126539,64.2909254497,0.0276817637955,0.0,164.984287925,-0.006137058026,-0.0276817637955,169.314330026,498.293501171,471.017235905,53.573206203,444.720294968,17,-2.30683808959e-16,1.34127593603e+14,-612.633858301,0.00640405106293,0.995441842883,4677,0.0031463830522
32.5136684993,65.7185255496,0.0331403075334,0.0,167.604543813,-0.00582201479877,-0.0331403075334,172.095647774,485.018808711,424.909766637,50.8658983448,434.152910366,18,8.6990110087e-17,1.31979602404e+14,-858.02779333,0.00997995686129,0.994744456593,4667,0.0029896986779
32.5062482454,64.6493558357,0.0332048042689,0.0,167.952058928,-0.0053649404834,-0.0332048042689,172.538565516,438.082256472,503.352483687,76.3714817502,361.710774722,19,-1.34479372254e-16,1.31003904678e+14,-646.629859189,0.00994593327434,0.994426061024,4760,0.00872226226599
32.4918919584,59.6773462258,0.0316882420341,0.0,172.571174474,-0.00550595069309,-0.0316882420341,177.668678588,353.893459285,531.366785753,51.4625205621,302.430938723,20,-7.51950059982e-17,1.29136610799e+14,-771.192653313,0.00995851979425,0.99380819787,4740,0.00595399218122
32.4832838073,61.700398114,0.0264178266993,0.0,173.933138579,-0.00534698818345,-0.0264178266993,179.103075117,316.368116901,406.393487059,41.7754103598,274.592706541,21,-8.12317794077e-17,1.28029754174e+14,-969.810319683,0.00640414507616,0.993439008815,4697,0.00487132576703
32.482322709,59.8657588575,0.033464770384,0.0,175.234335457,-0.00564813045397,-0.033464770384,180.744244213,252.09109868,489.594339094,27.1269547355,224.964143945,22,-2.82957829462e-16,1.27906764109e+14,-320.056702737,0.00999708311393,0.993400290751,4694,0.00319165026288
32.4679800435,57.4215223685,0.032873870256,0.0,177.015069703,-0.00520176221797,-0.032873870256,182.614779396,234.859474842,492.449688467,42.9014466988,191.958028143,23,2.01113226173e-17,1.26085333486e+14,-318.345209987,0.00994772096312,0.992784307365,4743,0.00976797448303
32.4496850743,57.773281088,0.0326158942565,0.0,181.115180151,-0.00495728896235,-0.0326158942565,187.141484662,196.58684859,477.494589717,30.8017167679,165.785131822,24,2.56754577878e-16,1.23799578848e+14,-599.865047019,0.00998674298035,0.991998845067,4714,0.00708224760218
32.4400687422,62.187101372,0.0324398638709,0.0,183.745775335,-0.00386736356713,-0.0324398638709,189.846045101,189.974038641,483.815826924,28.837986798,161.136051843,25,-6.74207197269e-17,1.22614786789e+14,-1274.73175743,0.0099652208957,0.991591318146,4582,0.00663909632216
32.4222888695,57.1097069932,0.0333125951199,0.0,184.69454428,-0.00450836121665,-0.0333125951199,191.129672211,142.884337682,482.569760036,16.7808091211,126.103528561,26,2.48360346211e-17,1.20453977873e+14,-439.038732512,0.00999357138698,0.990831278109,4601,0.00391542477279
