Entropy,vf_dLoss,AveragePolicyStd,AverageReturn,MinReturn,StdReturn,MeanKLBefore,vf_LossAfter,vf_LossBefore,Iteration,LossAfter,dLoss,vf_MeanKL,LossBefore,NumTrajs,MaxReturn,AverageDiscountedReturn,MeanKL,Perplexity,ExplainedVariance
22.7952713057,0.0,0.732737070394,2122.10152212,-10479.2205857,2237.03305856,0.0,327337.674383,327337.674383,2139,-0.0130144462839,0.0130144462839,0.0,6.85580361837e-17,409,11111.3340169,-544.326009397,0.00640131318533,7940732049.98,0.000365844545089
22.7898309154,0.0,0.732635856985,2294.46612902,-11083.1123824,1929.02282703,0.0,307752.658881,307752.658881,2140,-0.0156030204562,0.0156030204562,0.0,-1.83935453122e-16,409,8601.74291008,-517.302976613,0.00998799226452,7897648669.62,0.000332483306949
22.7894579129,0.0,0.732684670691,2560.11897291,-11798.5062339,1995.77365588,0.0,341518.262416,341518.262416,2141,-0.0122202691542,0.0122202691542,0.0,6.57461588567e-16,409,9008.26010809,-504.053202427,0.00641240235581,7894703376.45,0.000177266791902
22.7866623161,0.0,0.732601107564,2692.0223676,-13413.2372793,2280.42760604,0.0,384968.095555,384968.095555,2142,-0.0125895011058,0.0125895011058,0.0,3.28675961753e-16,409,9171.08136608,-493.357726237,0.00641230336628,7872663790.54,0.00025629048316
22.7781538403,0.0,0.732388268999,2954.9868978,-17909.4916321,2515.82811325,0.0,439692.760551,439692.760551,2143,-0.0157548440352,0.0157548440352,0.0,3.75352017873e-16,409,10557.1914727,-464.414810773,0.00998698539682,7805963581.83,0.000203647662566
22.7791394771,0.0,0.732415981802,2947.58716852,-9814.17551973,2627.45164456,0.0,469550.801239,469550.801239,2144,-0.012502283874,0.012502283874,0.0,-1.10859542138e-15,409,9944.10559721,-460.587009022,0.00640781250794,7813661219.97,0.000357484246854
22.7751834262,0.0,0.732333211781,3396.65776511,-11494.540479,2608.20406819,0.0,536606.578145,536606.578145,2145,-0.0125316016989,0.0125316016989,0.0,2.39455290695e-16,409,10465.9412807,-435.132647258,0.00642012195377,7782811040.84,0.000351578545639
22.7647708746,0.0,0.732020617619,3696.77729035,-11042.4298107,2699.76994853,0.0,593299.871795,593299.871795,2146,-0.0120244980458,0.0120244980458,0.0,-1.36430937181e-16,409,11686.3284107,-392.664602375,0.00640185829346,7702192569.87,0.000423083336026
22.7631559685,0.0,0.731990738839,3783.12133803,-14606.4783947,3045.01470303,0.0,664608.26427,664608.26427,2147,-0.0122445384106,0.0122445384106,0.0,3.76683199709e-17,409,12183.1126299,-388.051895363,0.00640057121762,7689764290.35,0.000371461180232
22.7612121876,0.0,0.731922536749,4211.51035888,-14588.0991751,3256.3380955,0.0,765014.797528,765014.797528,2148,-0.0153030787511,0.0153030787511,0.0,2.96933898279e-16,409,11527.8301845,-373.084801898,0.00998584070824,7674831591.08,0.00045618957695
22.7593159134,0.0,0.731827457881,4814.71811145,-7979.67668427,2976.38212564,0.0,875503.26813,875503.26813,2149,-0.015574019336,0.015574019336,0.0,8.06457318746e-16,409,12613.3038088,-343.416240945,0.00999561140988,7660291795.78,0.000408942142207
22.7551221989,0.0,0.731687254291,4828.51429101,-7363.24401284,3494.59168477,0.0,934985.187002,934985.187002,2150,-0.0124957991841,0.0124957991841,0.0,-2.42864679739e-16,409,12184.4707611,-319.711576363,0.00640187933182,7628233986.4,0.000431148820162
22.750853958,0.0,0.731602817154,4781.20792157,-6573.59697028,3442.39365368,0.0,920399.983647,920399.983647,2151,-0.01507779268,0.01507779268,0.0,6.72409696518e-17,409,12386.8091865,-323.258023578,0.00999642768033,7595744232.76,0.000430824016582
22.7341430638,0.0,0.731067854019,5240.3620399,-7230.14583063,3551.49366689,0.0,1051488.54436,1051488.54436,2152,-0.0121125300538,0.0121125300538,0.0,1.24715234065e-16,409,12050.386351,-300.14024691,0.00640415799105,7469867242.43,0.000392731487432
22.7315830424,0.0,0.731047988603,5356.76811983,-14594.0447354,3957.91729771,0.0,1139816.2549,1139816.2549,2153,-0.0121148978859,0.0121148978859,0.0,-9.72066762862e-17,409,12491.0511328,-291.261871847,0.00640051017564,7450768678.76,0.000438646929959
22.729440513,0.0,0.730961121822,5390.42274854,-9251.7623937,3958.7268039,0.0,1145645.80953,1145645.80953,2154,-0.0153207794721,0.0153207794721,0.0,1.4711839462e-16,409,12509.0298817,-304.990316578,0.00999282485414,7434822277.29,0.000394043009279
22.7299694746,0.0,0.730982511926,5725.53590846,-9038.61299568,3892.57692506,0.0,1228658.5785,1228658.5785,2155,-0.0152892558797,0.0152892558797,0.0,-3.12436846294e-17,409,12132.862687,-266.506168592,0.00999585350317,7438756053.09,0.000417282815454
22.724322614,0.0,0.730753841391,5694.22747486,-11623.9506653,3904.81052069,0.0,1225102.8274,1225102.8274,2156,-0.0120822593143,0.0120822593143,0.0,-2.01639302918e-16,409,12269.2140571,-260.922141255,0.00641458411704,7396868811.11,0.000412856506717
22.7124309223,0.0,0.730371989177,5762.7229781,-9487.90932348,4149.81019335,0.0,1274110.12742,1274110.12742,2157,-0.0121300323757,0.0121300323757,0.0,-6.70563848947e-17,409,12941.2056344,-285.377121675,0.00640727183997,7309428464.85,0.00036157173551
22.7094565334,0.0,0.730361563826,6222.47545527,-6067.4077431,3548.41760784,0.0,1307796.04498,1307796.04498,2158,-0.0151314195708,0.0151314195708,0.0,2.27039251295e-17,409,12484.1236433,-232.534082836,0.00999681131819,7287719683.61,0.000397921976984
