NumTrajs,LossBefore,MeanKL,vf_LossAfter,Entropy,AverageDiscountedReturn,Iteration,MeanKLBefore,ExplainedVariance,MaxReturn,StdReturn,dLoss,vf_LossBefore,vf_MeanKL,MinReturn,LossAfter,AverageReturn,Perplexity,vf_dLoss,AveragePolicyStd
13623,-1.63606048789e-16,0.00998665608443,31617.9648776,32.6355862637,37.4369270942,1,0.0,-0.0021084507501,638.328568307,216.157221322,0.022463131598,31617.9648776,0.0,-1897.65648319,-0.022463131598,19.612027763,1.4909223597e+14,0.0,1.0
14178,-9.36883961971e-17,0.00641055771331,20575.5342006,32.6298027583,64.1171196127,2,0.0,-0.00248088750721,428.080737705,190.123078971,0.01802197096,24406.3289803,0.0068911427445,-2659.10008306,-0.01802197096,51.2012188908,1.48232448909e+14,3830.79477972,0.999749056722
14714,4.15577725667e-17,0.00992964025418,42389.2665524,32.6256774546,78.7550549968,3,0.0,-0.000861657055415,433.865394529,467.882186861,0.0105973787134,50565.3166231,0.00733940004252,-52872.8196891,-0.0105973787134,68.8167960477,1.47622204617e+14,8176.05007064,0.99957020915
15127,9.33123097711e-18,0.00641044563303,9844.18554164,32.6069991399,95.7257250274,4,0.0,-0.00301906566259,453.410108101,153.760902988,0.0175793717467,11583.7696345,0.00627658620512,-2090.76015445,-0.0175793717467,88.5578697338,1.44890462223e+14,1739.58409283,0.998760590214
15618,-3.15955955139e-17,0.00641739168651,5940.07760399,32.6087221319,111.827259273,5,0.0,-0.00375891644874,393.994459166,130.268881009,0.0175892346514,7254.16862528,0.00935659657122,-2030.31533749,-0.0175892346514,107.637611674,1.45140322515e+14,1314.09102128,0.998835525503
16329,-5.56506759689e-17,0.00642710756316,4126.16894534,32.5998502559,123.151516878,6,0.0,-0.00419295240253,530.922067238,113.997385894,0.0172771027885,4720.0550733,0.00432785728843,-1849.41719255,-0.0172771027885,121.12009514,1.43858350733e+14,593.886127964,0.998450860299
16989,-2.00107167645e-16,0.00645501290731,2857.23806614,32.5879820897,135.562661858,7,0.0,-0.00482914757338,511.815107519,98.55736677,0.0168919298725,3459.92204911,0.0086095976433,-1124.43259978,-0.0168919298725,135.452008013,1.42161107423e+14,602.683982971,0.997937547368
17456,7.07888805196e-17,0.00643586841607,2088.67742824,32.5658756655,143.31134763,8,0.0,-0.00535950869297,408.812547365,86.9656016069,0.016800895199,2393.31935824,0.00443788728143,-1307.88469101,-0.016800895199,144.56864894,1.39052915758e+14,304.641930004,0.996983484416
18033,7.53580179648e-18,0.00987796238494,10357.9005645,32.5441264644,148.756426929,9,0.0,-0.000831189055823,546.445412082,283.566942966,0.00868242235462,12301.3853195,0.00698904165722,-36385.9275652,-0.00868242235462,150.858045412,1.36061276734e+14,1943.48475503,0.996047240785
18442,-2.24696685393e-16,0.00643195205924,1354.91847819,32.548186848,153.784429355,10,0.0,-0.00551613574346,465.914804118,75.6806500846,0.0159557588342,1622.96553845,0.00769697828592,-1231.3642835,-0.0159557588342,156.675589101,1.36614860834e+14,268.047060262,0.996226591822
18689,1.97773973376e-16,0.00999421610184,1172.3459234,32.5324707796,159.894504712,11,0.0,-0.00562342427426,580.831145233,69.7964029921,0.0193985671076,1367.60427757,0.00565724973794,-1709.97919749,-0.0193985671076,163.545909812,1.34484595872e+14,195.258354169,0.995554276373
18927,2.07803749371e-17,0.00953095068813,5511.73921465,32.510891199,161.731447329,12,0.0,-0.000725715048083,478.761558543,357.668066599,0.0067291698888,6625.35517524,0.00797570125594,-45072.5907706,-0.0067291698888,165.961299168,1.31613563943e+14,1113.6159606,0.994629711968
19023,-1.64454469559e-18,0.00992656109498,5452.23733638,32.4980224543,161.776659954,13,0.0,-0.000652344579855,522.393701683,424.181387154,0.0069414949241,6539.48671201,0.00779273926851,-49311.3173271,-0.0069414949241,166.084990855,1.29930713902e+14,1087.24937563,0.994076321146
19133,5.75386645494e-17,0.0099077818098,1246.45206144,32.4921308222,166.290846718,14,0.0,-0.00271452649096,513.367520339,153.127342144,0.0121533575614,1469.29603252,0.00642919815507,-19100.7636095,-0.0121533575614,170.869582376,1.29167460545e+14,222.843971081,0.993824204286
19120,-3.72012484494e-17,0.00641997607284,576.547290854,32.4739614965,170.703253856,15,0.0,-0.00585316519446,530.901122322,61.0839515801,0.0151608491767,670.177314832,0.00542664142574,-1259.63702175,-0.0151608491767,175.725623733,1.26841767011e+14,93.630023978,0.993044951041
19098,-4.36383350161e-17,0.00998570274398,2466.03029911,32.4560668454,171.280391531,16,0.0,-0.000853001488852,674.829567845,335.581748177,0.00657971378282,2901.81990057,0.00628700790564,-45466.9929049,-0.00657971378282,176.519854476,1.24592165788e+14,435.78960146,0.99227958962
18888,-9.69145267273e-17,0.00998611520455,578.42678323,32.4523377231,174.742247955,17,0.0,-0.00387969886651,521.173714132,72.4422150044,0.0163688650314,672.633423254,0.00545872363522,-5366.55894455,-0.0163688650314,180.047426913,1.24128411594e+14,94.2066400238,0.992123090542
18891,-6.11022662945e-17,0.00641549058025,362.234578109,32.4430486186,177.955440232,18,0.0,-0.00604455241187,742.532201082,59.5353123276,0.0149013175067,438.859605688,0.00875006417108,-900.215814184,-0.0149013175067,183.6164499,1.22980708628e+14,76.6250275782,0.991729269507
18592,-6.68062138623e-17,0.00640600285383,326.607499062,32.4223579551,180.882660891,19,0.0,-0.00531377756675,484.917965317,67.177324508,0.014654857052,387.538658328,0.00701494430697,-3527.79370288,-0.014654857052,186.807717584,1.2046229979e+14,60.931159266,0.990846448337
18350,-2.84481888621e-16,0.00641706433015,271.563039881,32.3876281056,183.962605657,20,0.0,-0.00564566897782,651.755195841,59.4656324677,0.0145929326067,312.290008084,0.0047463825214,-774.612332558,-0.0145929326067,190.23710903,1.16350477028e+14,40.7269682024,0.989362271405
18271,3.25223009712e-17,0.00640783586022,266.302798176,32.3606273131,187.013967566,21,0.0,-0.00473330901588,675.32631055,62.8470010971,0.0148800148596,305.162310097,0.00451959703638,-1664.3349121,-0.0148800148596,193.491364362,1.13250955025e+14,38.8595119206,0.988208039738
17821,3.41314598649e-16,0.00640793268808,241.756904246,32.337405374,189.33327192,22,0.0,-0.00461662134391,835.342365638,64.5492683939,0.0152193516644,273.271303265,0.0036837152078,-973.797427764,-0.0152193516644,195.941725938,1.10651349002e+14,31.5143990187,0.987215081571
17451,2.71201787729e-16,0.00641120890129,189.750499016,32.3069964415,192.904648833,23,0.0,-0.0047239624684,1061.02268928,62.9017205054,0.0146466439163,231.436624245,0.00949018541174,-909.306680723,-0.0146466439163,199.986749539,1.07337204778e+14,41.6861252293,0.98591970673
17276,-1.51759718474e-16,0.00997937083923,173.199347581,32.297318663,195.259309457,24,0.0,-0.00384933584953,806.816076973,66.0718485979,0.0181384166814,207.112742516,0.00777608052515,-1184.64352869,-0.0181384166814,202.434355107,1.06303429473e+14,33.9133949351,0.985515013313
16839,-2.13093688581e-16,0.00640954766618,147.939051059,32.2741962188,199.026643477,25,0.0,-0.00381827636834,606.202814164,64.9124391481,0.0148359583322,171.828067261,0.00553928861793,-1139.7860249,-0.0148359583322,206.607794326,1.03873634023e+14,23.8890162015,0.984541487223
16559,2.06684389316e-16,0.0099982784465,137.032747727,32.2526598806,202.26169603,26,0.0,-0.00315250053787,1623.40765063,67.4003004893,0.018375769921,157.167403366,0.00468571071486,-1629.19185562,-0.018375769921,210.339535134,1.01660493323e+14,20.1346556389,0.983628507705
16010,1.64348770121e-16,0.00641392778046,118.847247256,32.2205221464,205.40275451,27,0.0,-0.0033937277108,1309.54965701,66.3264053795,0.0144976362044,133.592651146,0.00346119290857,-730.797314711,-0.0144976362044,213.642708097,9.84452967064e+13,14.7454038904,0.982263108744
