AverageReturn,LossBefore,vf_LossAfter,MeanKLBefore,NumTrajs,Iteration,Perplexity,AverageDiscountedReturn,LossAfter,StdReturn,dLoss,ExplainedVariance,vf_dLoss,MeanKL,Entropy,vf_MeanKL,AveragePolicyStd,MinReturn,MaxReturn,vf_LossBefore
-15383229.0163,2.52772826196e-16,9.33439680243e+14,0.0,507,1,1.4909223597e+14,-6345085.10545,-0.00676552403784,69156673.7066,0.00676552403784,2.34415539535e-07,0.0,0.00967830506555,32.6355862637,0.0,1.0,-1003785616.14,7.19767783018,9.33439680243e+14
-7220787.37484,-4.33488707684e-18,1.60335474671e+14,0.0,505,2,1.50885884521e+14,-3003429.06213,-0.00593999950536,28600109.3914,0.00593999950536,5.41552185207e-07,0.0,0.00718568000136,32.6475449354,0.0,1.00052124513,-314270754.037,-5041.43117293,1.60335474671e+14
-6690387.30569,1.1656425733e-17,9.15651013202e+13,0.0,504,3,1.50016829192e+14,-2724187.38194,-0.00574742623475,20988179.0617,0.00574742623475,7.5788655074e-07,0.0,0.00729770041575,32.6417685983,0.0,1.00027053254,-181986303.809,-4818.86132365,9.15651013202e+13
-3525628.54743,-7.29758594718e-17,3.55381193471e+13,0.0,505,4,1.50328685278e+14,-1467944.09482,-0.00713489308191,13639606.0192,0.00713489308191,1.04263099687e-06,0.0,0.00933775908242,32.643845248,0.0,1.00036263628,-182318455.079,-3927.81348547,3.55381193471e+13
-5737182.30053,4.04228492002e-17,2.64723203513e+14,0.0,505,5,1.50474227999e+14,-2265254.87846,-0.00529321869903,36167996.152,0.00529321869903,5.62544808513e-08,0.0,0.00958720787986,32.6448129429,0.0,1.00041075301,-544057469.01,-3895.47191327,2.64723203513e+14
-3436466.91991,3.72085244468e-16,3.40996659768e+13,0.0,505,6,1.48810512664e+14,-1411702.6434,-0.00550349101249,13054294.219,0.00550349101249,7.19085751943e-07,0.0,0.00971186275404,32.6336948855,0.0,0.99993066555,-127495966.568,-2583.45468273,3.40996659768e+13
-1966289.39421,2.07887383962e-16,1.46166502541e+13,0.0,505,7,1.53690302015e+14,-795947.87273,-0.00455076298366,8456134.66927,0.00455076298366,8.93764468213e-07,0.0,0.00775994043449,32.6659606676,0.0,1.00134189463,-98868960.3054,-3157.64301055,1.46166502541e+13
-3936502.27896,-2.17680332473e-16,1.89005392721e+14,0.0,505,8,1.5622923385e+14,-1563360.36192,-0.0047199755719,31066897.4474,0.0047199755719,-1.76322743073e-07,0.0,0.00968262167918,32.6823454924,0.0,1.0020547857,-535921422.635,-4655.78153772,1.89005392721e+14
-2445204.31406,1.13957574982e-16,3.4237611293e+13,0.0,505,9,1.56811144488e+14,-973877.524938,-0.00538562268855,12960641.4251,0.00538562268855,8.98742406052e-08,0.0,0.00984125339608,32.6860632959,0.0,1.00222864872,-188726646.098,-3888.84777762,3.4237611293e+13
-1190541.60362,6.8052720709e-17,1.58096605681e+13,0.0,505,10,1.58102000088e+14,-474579.436358,-0.00499799492072,8798098.76064,0.00499799492072,-6.42469988321e-08,0.0,0.00959050611165,32.6942615108,0.0,1.00258895175,-156799723.835,-3056.92839815,1.58096605681e+13
