MinReturn,MaxReturn,AveragePolicyStd,vf_dLoss,ExplainedVariance,vf_LossAfter,MeanKLBefore,AverageDiscountedReturn,StdReturn,LossBefore,dLoss,LossAfter,AverageReturn,NumTrajs,Iteration,Entropy,vf_LossBefore,Perplexity,vf_MeanKL,MeanKL
-2.96506070696e+16,-3778255.6418,1.0,0.0,4.10782519111e-15,4.09463651622e+29,0.0,-1.88204012196e+13,1.85536592096e+15,2.46267920027e-16,0.004661860338,-0.004661860338,-1.34657553139e+14,261,1,32.6355862637,4.09463651622e+29,1.4909223597e+14,0.0,0.00978870648977
-2.51536299563e+18,-9045278.56693,0.999778875131,0.0,2.22044604925e-16,2.79858076865e+33,0.0,-1.48304761214e+15,1.54821668434e+17,1.30781126633e-16,0.00454786684182,-0.00454786684182,-9.8397540912e+15,263,2,32.6304594848,2.79858076865e+33,1.48329829062e+14,0.0,0.00970058142276
-1.15956988319e+17,-9088790.05232,0.999367763764,0.0,1.66533453694e-15,7.72809071575e+30,0.0,-1.0840375679e+14,7.97828439093e+15,-3.21762399176e-16,0.00416681871684,-0.00416681871684,-7.70254664841e+14,265,3,32.6209827077,7.72809071575e+30,1.4693078004e+14,0.0,0.00997421251542
-5.87930972909e+15,-8362975.72165,0.999219679168,0.0,1.98729921408e-14,2.15615110275e+28,0.0,-5.31448893228e+12,4.26386613845e+14,-9.38599040372e-17,0.00317170641216,-0.00317170641216,-3.71836316502e+13,263,4,32.6175714071,2.15615110275e+28,1.46430408926e+14,0.0,0.00645820485494
-1.04812076304e+22,-11953808.7745,0.999406732169,0.0,0.0,5.11165281575e+40,0.0,-5.47518358172e+18,6.47525817625e+20,-3.0978562414e-16,0.00572968334795,-0.00572968334795,-4.01678409597e+19,261,5,32.6218691761,5.11165281575e+40,1.47061087281e+14,0.0,0.00854203567601
-1.45841261598e+52,-8779409.22295,0.999467535362,0.0,0.0,1.00334497342e+101,0.0,-7.4671375483e+48,8.97584428405e+50,1.08465242942e-14,0.0044592731524,-0.00445927315239,-5.54529511779e+49,263,6,32.6232376501,1.00334497342e+101,1.47262474311e+14,0.0,0.00997009777862
-1.27542866249e+24,-1978813.55982,0.999600486528,0.0,0.0,7.32486537167e+44,0.0,-7.1066092422e+20,7.85048429749e+22,2.35095141324e-14,0.00426628230816,-0.00426628230813,-4.96840514471e+21,263,7,32.6262958721,7.32486537167e+44,1.47713525014e+14,0.0,0.00999074613429
-3.2466915103e+15,-6568308.47033,0.999363800579,0.0,3.8413716652e-14,5.30309570572e+27,0.0,-2.75859330738e+12,2.09312718877e+14,2.11897638305e-16,0.00417489622116,-0.00417489622116,-1.96101790751e+13,263,8,32.6208562559,5.30309570572e+27,1.46912201551e+14,0.0,0.0098914316943
-7.7088982729e+25,-6695867.25821,0.999298193362,0.0,0.0,2.80424228841e+48,0.0,-3.98212688954e+22,4.74447066425e+24,2.81377055416e-14,0.00320596769644,-0.00320596769641,-2.95445920146e+23,263,9,32.6192988044,2.80424228841e+48,1.46683571002e+14,0.0,0.0064183347025
-2.67411338246e+20,-10140385.9482,0.999584846078,0.0,0.0,3.3293272762e+37,0.0,-1.39405119795e+17,1.64891621084e+19,-1.01301472377e-16,0.00397090898435,-0.00397090898435,-1.02077288879e+18,262,10,32.6258884203,3.3293272762e+37,1.47653351129e+14,0.0,0.00997444116644
-3.38958743478e+32,-7427346.19048,0.999361543406,0.0,0.0,5.35141685116e+61,0.0,-1.75804006451e+29,2.08613176474e+31,-9.67371889912e-15,0.00361812036989,-0.0036181203699,-1.28881827831e+30,263,11,32.6207571666,5.35141685116e+61,1.46897644846e+14,0.0,0.00995008067178
-1.80277880895e+18,-2255043.24548,0.999377910119,0.0,0.0,1.6131075717e+33,0.0,-4.79570150361e+15,1.30515499255e+17,-1.37580362316e-17,0.00378005801669,-0.00378005801669,-1.2277956765e+16,262,12,32.6210750171,1.6131075717e+33,1.46944343752e+14,0.0,0.00640360596014
-1.46908630056e+20,-5857670.63826,0.999319708266,0.0,0.0,1.00370560962e+37,0.0,-7.63389171576e+16,9.05869382627e+18,2.89102153588e-16,0.0046230453702,-0.0046230453702,-5.60963154771e+17,262,13,32.6197528606,1.00370560962e+37,1.46750188718e+14,0.0,0.0098599019789
-5.55129616339e+16,-7122757.70482,0.999653832825,0.0,1.55431223448e-15,1.604498352e+30,0.0,-4.4549361523e+13,3.67801142096e+15,9.79496740889e-17,0.00303351332499,-0.00303351332499,-3.15042062366e+14,262,14,32.6273992304,1.604498352e+30,1.47876595895e+14,0.0,0.00641152522912
-5.99884902181e+18,-4914112.87198,0.999953823799,0.0,0.0,2.77748360724e+34,0.0,-6.39840774486e+15,4.76614491477e+17,1.45484041891e-16,0.00363487676454,-0.00363487676454,-4.62264071044e+16,264,15,32.6342358528,2.77748360724e+34,1.48891036068e+14,0.0,0.0099947438634
-3.26010698779e+23,-15008920.2985,1.00017584668,0.0,0.0,4.84468410317e+43,0.0,-1.78117110626e+20,2.0140748759e+22,-1.79812288225e-14,0.00420235884963,-0.00420235884965,-1.2514807078e+21,261,16,32.6393427783,4.84468410317e+43,1.49653356396e+14,0.0,0.00997699718044
-3.21552464849e+32,-11907286.83,1.00017360828,0.0,0.0,4.8147626747e+61,0.0,-1.67418649898e+29,1.98654318101e+31,-3.47361052854e-14,0.0035588284742,-0.00355882847424,-1.23200178103e+30,261,17,32.6391854506,4.8147626747e+61,1.49629813627e+14,0.0,0.00640660282197
-6.34048845893e+46,-13352569.754,1.00038642137,0.0,0.0,1.88002791308e+90,0.0,-3.26741731636e+43,3.90227268118e+45,-2.70257025339e-14,0.00325560851096,-0.00325560851098,-2.41083211366e+44,263,18,32.6440461645,1.88002791308e+90,1.50358891839e+14,0.0,0.0064315226948
-1.88597177293e+40,-20505190.9704,1.00022388836,0.0,0.0,1.67401465714e+77,0.0,-9.72829158255e+36,1.16293154414e+39,2.13554646666e-14,0.00405396658602,-0.004053966586,-7.19836555101e+37,262,19,32.6403849085,1.67401465714e+77,1.49809395979e+14,0.0,0.00992223028628
-6.02943445098e+35,-19527608.9321,1.00084563889,0.0,0.0,1.70692853437e+68,0.0,-3.12491724376e+32,3.72496970271e+34,3.48749891311e-14,0.00369717495899,-0.00369717495896,-2.31012814214e+33,261,20,32.6546587745,1.70692853437e+68,1.5196308941e+14,0.0,0.00641284743195
-7.3512972839e+21,-9874437.2149,1.00108000198,0.0,0.0,2.4701994004e+40,0.0,-3.92011120573e+18,4.53297091659e+20,1.0002066008e-15,0.0047815290087,-0.0047815290087,-2.80586486272e+19,262,21,32.65997151,2.4701994004e+40,1.52772577514e+14,0.0,0.00993890121521
-8.82260532714e+32,-8956251.21274,1.00073101728,0.0,0.0,3.62933362264e+62,0.0,-4.62429880629e+29,5.46101520479e+31,2.57156624324e-14,0.00464349871841,-0.00464349871839,-3.39331007199e+30,260,22,32.6518747869,3.62933362264e+62,1.51540614413e+14,0.0,0.00976070125402
-2.01867426416e+40,-6551902.29233,1.00084403505,0.0,0.0,1.91282511129e+77,0.0,-1.04597373184e+37,1.24713197146e+39,-2.00257154549e-14,0.00420355735443,-0.00420355735445,-7.73438415387e+37,261,23,32.6544794571,1.91282511129e+77,1.51935842236e+14,0.0,0.00997594414695
