Entropy,Perplexity,MaxReturn,LossAfter,MeanKL,vf_LossBefore,StdReturn,AverageDiscountedReturn,ExplainedVariance,vf_MeanKL,vf_dLoss,dLoss,MinReturn,NumTrajs,AveragePolicyStd,MeanKLBefore,LossBefore,Iteration,AverageReturn,vf_LossAfter
32.6355862637,1.4909223597e+14,-1056.10800996,-0.00359562026693,0.00641974030992,29544821.9112,14013.6899447,-2597.59108398,-0.0022796832246,0.0,0.0,0.00359562026693,-94694.5780246,269,1.0,0.0,-3.24571904229e-16,1,-10435.0523402,29544821.9112
32.6124092605,1.45676461352e+14,-548.893088905,-0.00419088114701,0.00975693037659,24963166.0622,12877.9939107,-2420.40308432,-0.00259618619545,0.0,0.0,0.00419088114701,-77929.6752935,268,0.998993925833,0.0,-6.48231954618e-17,2,-9607.2722233,24963166.0622
32.6014034461,1.44081963719e+14,-72.2308803144,-0.00469399306921,0.00992254573096,42191368.4547,16159.7863242,-3203.84009928,-0.00221646200747,0.0,0.0,0.00469399306921,-108739.81378,269,0.998518788005,0.0,2.43421143242e-16,3,-13071.402547,42191368.4547
32.6046142148,1.44545321044e+14,-758.797687999,-0.00459950932909,0.00996096505567,34092293.1069,15074.2347203,-2786.04937636,-0.00231025986042,0.0,0.0,0.00459950932909,-96454.7593128,267,0.998660038788,0.0,-1.8625618374e-16,4,-11095.8143668,34092293.1069
32.6009423388,1.44015541792e+14,-876.618773584,-0.00416925587431,0.00647291358088,20587067.8458,11733.7190906,-2250.96037541,-0.00273496950613,0.0,0.0,0.00416925587431,-70496.0280963,265,0.998501269326,0.0,2.33692853535e-16,5,-8826.28687793,20587067.8458
32.5920359523,1.4273857872e+14,-487.910747519,-0.00367396919048,0.00660698184788,33655438.0332,14961.6934689,-2697.14009486,-0.00201684044237,0.0,0.0,0.00367396919048,-88950.703176,267,0.998115901972,0.0,1.09434709658e-15,6,-11171.5637989,33655438.0332
32.5909692147,1.42586395289e+14,-559.269271338,-0.00458467376827,0.00996687403701,29686653.725,14341.6600595,-2433.89662999,-0.00228145437317,0.0,0.0,0.00458467376827,-95771.9865285,265,0.998070522992,0.0,-1.26911394909e-17,7,-10161.1993495,29686653.725
32.5945848062,1.43102862565e+14,-329.44654796,-0.00545027702469,0.00988904097632,39471887.7483,16602.0897756,-2753.06137077,-0.0020263376332,0.0,0.0,0.00545027702469,-117720.337754,266,0.998230092135,0.0,-3.22107963412e-16,8,-11566.9787839,39471887.7483
32.5833466908,1.41503658928e+14,-368.38700474,-0.00445724839552,0.00969449317167,43625372.9044,17511.3176484,-2882.83356597,-0.00193556336345,0.0,0.0,0.00445724839552,-138646.680537,271,0.997744058837,0.0,3.32134009866e-16,9,-11846.1126151,43625372.9044
32.5908876629,1.42574767597e+14,-151.427706796,-0.0055099384134,0.00974456880886,33468781.2787,15424.5318872,-2532.42158011,-0.0017824585414,0.0,0.0,0.00550993841341,-88722.9565785,267,0.998072556554,0.0,4.79350882282e-16,10,-10329.2833123,33468781.2787
32.5877314855,1.42125485715e+14,-529.442094608,-0.00476409632154,0.00965658557253,24780528.6058,13157.4658611,-2235.53468896,-0.00236645788282,0.0,0.0,0.00476409632154,-83240.5691453,267,0.997936158911,0.0,1.17776535382e-16,11,-8881.5410497,24780528.6058
32.5946362772,1.43110228402e+14,-545.500112112,-0.00479136425594,0.00994835658171,37845992.5323,15473.7628116,-2839.50803889,-0.00222917516163,0.0,0.0,0.00479136425594,-99700.5361088,273,0.998237678572,0.0,5.23653766626e-18,12,-11627.3972494,37845992.5323
32.6082925208,1.45077982014e+14,-273.513135416,-0.00362860700235,0.00993176435551,24533642.2919,13038.3912564,-2152.6897099,-0.00240108714568,0.0,0.0,0.00362860700235,-80598.3150043,264,0.998832556919,0.0,-3.73045569239e-16,13,-8958.7693122,24533642.2919
32.5860673242,1.4188916268e+14,-377.210205749,-0.00461600910183,0.00997606333434,24729308.6245,13543.9989702,-2158.59473915,-0.00199496669605,0.0,0.0,0.00461600910183,-99362.7698346,266,0.997867672222,0.0,-1.36025590586e-17,14,-8660.18008234,24729308.6245
32.5799380281,1.41022141812e+14,-289.815040692,-0.00346236269986,0.00645111080021,25468517.961,13842.4309771,-2156.02220988,-0.00231612805718,0.0,0.0,0.00346236269986,-99371.5738782,265,0.99760562092,0.0,-5.69521277966e-16,15,-8522.39243163,25468517.961
