vf_MeanKL,MeanKL,AveragePolicyStd,AverageReturn,LossBefore,MeanKLBefore,Iteration,Perplexity,dLoss,MinReturn,AverageDiscountedReturn,StdReturn,LossAfter,vf_LossAfter,Entropy,vf_LossBefore,vf_dLoss,NumTrajs,MaxReturn,ExplainedVariance
0.0,0.0099731016209,1.00017843625,-34727.1079705,9.32678158691e-17,0.0,60,1.49668104026e+14,0.0173288386179,-1221912.4207,-6843.25616751,55348.3863206,-0.0173288386179,226111656.694,32.6394413187,226111656.694,0.0,572,40.3414986427,4.81210206171e-06
0.0,0.00997386484033,1.0002253759,-33491.8640789,-3.58528347784e-17,0.0,61,1.4982944932e+14,0.0229583699521,-420827.528488,-6067.83149119,28412.3210056,-0.0229583699521,73919553.6862,32.6405187586,73919553.6862,0.0,568,89.3715904183,2.25206183294e-05
0.0,0.00997635544424,1.00016026563,-32444.9483526,1.07868330787e-15,0.0,62,1.49605828953e+14,0.0243082342692,-368703.222805,-6294.4274781,25857.4211658,-0.0243082342692,59722910.7923,32.6390251443,59722910.7923,0.0,582,54.9989899919,2.93661628614e-05
0.0,0.00998384103125,1.00023321773,-32414.2981462,-2.88078633905e-16,0.0,63,1.49855972673e+14,0.0207125086438,-565242.437575,-6107.74426255,31631.462732,-0.0207125086438,83863322.9396,32.6406957666,83863322.9396,0.0,582,113.67702803,1.30528503964e-05
0.0,0.00995844155644,1.00017799722,-30628.019219,5.94854564333e-16,0.0,64,1.49666218035e+14,0.0260081253253,-157701.1591,-6205.53449757,21840.6546077,-0.0260081253253,46082176.3886,32.6394287175,46082176.3886,0.0,600,118.599497285,3.31998069978e-05
0.0,0.00995060156729,1.00021280109,-35765.6432034,2.40482700849e-16,0.0,65,1.49783648667e+14,0.020408177809,-724722.034748,-7562.01901117,52162.2208254,-0.020408177809,178276736.428,32.6402130266,178276736.428,0.0,590,91.6546103157,9.78288804243e-06
0.0,0.00995694236295,1.0002758648,-55371.8087147,-6.08763170152e-17,0.0,66,1.50000487783e+14,0.0130358674537,-11782521.5926,-18738.1832699,490915.544391,-0.0130358674537,11393511638.0,32.6416596619,11393511638.0,0.0,579,88.1995314996,3.28226649748e-07
0.0,0.00996564756334,1.00019842655,-33348.1900841,-9.29960033735e-17,0.0,67,1.49730061568e+14,0.0198614378113,-707431.468334,-6624.87108845,35425.4785192,-0.0198614378113,103829364.086,32.6398551993,103829364.086,0.0,574,98.2154752771,1.63375335708e-05
0.0,0.00997625799405,1.00016505304,-31867.9518167,-1.09332507505e-16,0.0,68,1.49614368837e+14,0.0248154485464,-292341.820536,-6876.49378999,25168.4629905,-0.0248154485464,50463304.2771,32.6390822252,50463304.2771,0.0,591,79.0061703437,3.4331783439e-05
0.0,0.00997580253607,1.00020886732,-48925.2027759,4.81002408254e-17,0.0,69,1.49764247347e+14,0.0164181872936,-6737980.00535,-7190.9802694,304452.191126,-0.0164181872936,6357749491.3,32.6400834893,6357749491.3,0.0,555,121.998611917,5.63947055499e-07
0.0,0.00996652507028,1.00010224341,-40657.1874697,-1.18412409182e-17,0.0,70,1.49398764319e+14,0.0176769380804,-2959499.19636,-7265.61118098,133995.569037,-0.0176769380804,1289222053.95,32.6376401176,1289222053.95,0.0,577,72.786029126,1.62204867549e-06
0.0,0.00999542627953,1.00002327353,-34018.7879875,-3.78839345904e-17,0.0,71,1.49125966538e+14,0.0218354048335,-764121.290483,-7353.46302759,40777.8265197,-0.0218354048335,73201028.9099,32.6358124777,73201028.9099,0.0,571,49.3440476052,2.49880311973e-05
0.0,0.00997102505438,1.00002783437,-29857.7536896,3.07849565932e-16,0.0,72,1.49141219662e+14,0.0222754140084,-404820.474131,-6314.53603845,26818.3801922,-0.0222754140084,63200079.0678,32.635914756,63200079.0678,0.0,620,81.515599922,2.38589730656e-05
0.0,0.00999481921681,0.999891893722,-31265.3536673,-5.14912922327e-16,0.0,73,1.48678811079e+14,0.0197820574775,-553993.794518,-7450.57721253,35305.0278807,-0.0197820574775,79079266.9412,32.6328094648,79079266.9412,0.0,614,104.290924347,8.72880742564e-06
0.0,0.00997829903369,0.999890487999,-31449.0108528,-2.4217765361e-16,0.0,74,1.48674208548e+14,0.0229636137891,-363070.37619,-6061.07670272,25937.3569935,-0.0229636137891,58672110.1269,32.6327785081,58672110.1269,0.0,574,90.2974054484,2.88046520321e-05
0.0,0.00997175229421,1.00001943731,-31631.323123,-2.7238662038e-16,0.0,75,1.49114781283e+14,0.0199445723969,-698482.100249,-5964.90148136,36205.5995306,-0.0199445723969,107207918.13,32.6357374695,107207918.13,0.0,587,160.550343612,1.24925038423e-05
0.0,0.0099774832543,0.999928387227,-83497.9882848,-4.71046964491e-16,0.0,76,1.48801160343e+14,0.0154037986088,-28682857.1857,-10881.6858834,1187916.65515,-0.0154037986088,100362185913.0,32.6336320363,100362185913.0,0.0,582,87.1540319867,1.05431670061e-07
0.0,0.0099760294704,0.999825583906,-33708.2938447,2.24028287467e-17,0.0,77,1.48450408171e+14,0.0239205968793,-382466.073555,-6298.70061372,33347.4245457,-0.0239205968793,95218377.3676,32.6312720667,95218377.3676,0.0,590,85.5445537273,2.19545093523e-05
0.0,0.00998765386213,0.999845725628,-39838.5807223,-2.01181548209e-16,0.0,78,1.48520025699e+14,0.0166240141149,-5043519.05964,-6912.92834707,208644.695832,-0.0166240141149,3174659564.35,32.6317409183,3174659564.35,0.0,591,99.4146197114,2.19217307085e-07
0.0,0.00997605853496,0.999923965658,-32288.5022363,1.37863241199e-16,0.0,79,1.48786404107e+14,0.0201634791611,-708917.788916,-5890.65917379,38906.4248044,-0.0201634791611,118103999.705,32.6335328639,118103999.705,0.0,566,55.3214378144,1.32668261399e-05
0.0,0.00988267130319,0.999642377089,-39504.6604451,-2.22173741722e-16,0.0,80,1.47827389156e+14,0.0161065691493,-4414482.33277,-7366.82280863,183976.076513,-0.0161065691493,2463379403.79,32.6270664196,2463379403.79,0.0,589,90.5269871914,1.65775854888e-06
0.0,0.00995092226808,0.999819771846,-35282.7097451,8.06861439473e-17,0.0,81,1.48432860999e+14,0.0157274370299,-3382822.13697,-5809.9683099,141917.636865,-0.0157274370299,1420281106.53,32.6311538575,1420281106.53,0.0,567,73.6435396891,8.47891572064e-07
0.0,0.00995715222251,0.999888006673,-32042.4689836,-1.45848499312e-16,0.0,82,1.48665415518e+14,0.0206425221272,-498749.611594,-6700.38734936,31602.8628996,-0.0206425221272,81722235.5332,32.6327193634,81722235.5332,0.0,574,83.1956439631,1.24226960282e-05
0.0,0.00996894076872,0.999685736253,-32243.8800279,-6.98147627428e-16,0.0,83,1.47976485479e+14,0.0245216204736,-264029.850974,-6743.21656024,22862.959509,-0.0245216204736,42368501.814,32.6280744952,42368501.814,0.0,554,119.101063984,3.55111894833e-05
0.0,0.00996821524138,0.999766848319,-32474.4448867,2.13045012221e-16,0.0,84,1.48248150062e+14,0.0187982496,-882209.955066,-6544.34701005,40826.2284568,-0.0187982496,133821174.056,32.6299086752,133821174.056,0.0,589,69.7084743602,7.34249886025e-06
0.0,0.00986095686773,0.999886920355,-35668.5307082,1.40447993682e-16,0.0,85,1.48655707221e+14,0.0102816571818,-2412109.66122,-9881.98042459,102173.59163,-0.0102816571818,201573768.852,32.6326540583,201573768.852,0.0,572,99.2396531529,5.69731596189e-06
0.0,0.00999666143157,0.999751459264,-38589.9177825,-5.53713626368e-17,0.0,86,1.48192163348e+14,0.0166483147501,-4115599.30046,-6035.03625978,172514.615806,-0.0166483147501,2122296198.37,32.6295309485,2122296198.37,0.0,572,98.433095421,1.02294039661e-06
0.0,0.00998828280158,0.999717274569,-31562.8688753,6.4329237215e-17,0.0,87,1.48076418633e+14,0.0255575351616,-212392.112485,-6036.02390075,24774.7402394,-0.0255575351616,53548968.9052,32.6287495985,53548968.9052,0.0,580,81.7459983958,3.90246965265e-05
0.0,0.00997434088013,0.999586946492,-31777.2057102,-4.28807310705e-17,0.0,88,1.47632569553e+14,0.0252981946477,-164977.756067,-6596.70249258,20641.3585642,-0.0252981946477,42056853.6686,32.6257476647,42056853.6686,0.0,562,114.863466666,3.05898204475e-05
0.0,0.0099733299298,0.999619578227,-33919.2710361,-3.42389232956e-16,0.0,89,1.4774152612e+14,0.02053405755,-640761.974241,-6712.78746472,35888.3344932,-0.02053405755,98267669.7543,32.6264854177,98267669.7543,0.0,557,83.8753714459,1.13864299207e-05
0.0,0.00997673204992,0.99950549385,-193414.224524,2.90877219395e-16,0.0,90,1.47350234046e+14,0.0167035725546,-87331776.76,-7097.85461407,3700393.04663,-0.0167035725546,939882340034.0,32.6238334135,939882340034.0,0.0,556,76.3456969324,9.01946595189e-09
0.0,0.00994108526462,0.999401869743,-33097.6823151,-1.40408308729e-16,0.0,91,1.4699680957e+14,0.0223221730569,-605714.365875,-7196.46154363,35037.2118928,-0.0223221730569,65490133.1534,32.6214319989,65490133.1534,0.0,577,123.205784996,2.06400686231e-05
0.0,0.00998733065808,0.999391123998,-33116.346785,-4.33973819182e-16,0.0,92,1.46959324493e+14,0.0221627875251,-409012.031783,-6120.04264024,28052.146683,-0.0221627875251,67084349.31,32.6211769603,67084349.31,0.0,548,62.1875297536,2.12890076906e-05
0.0,0.00995194535934,0.999442341972,-32502.5065235,9.53867886923e-17,0.0,93,1.47132166449e+14,0.0203789018569,-671112.536958,-6648.07710654,34952.7588219,-0.0203789018569,102406976.131,32.6223523903,102406976.131,0.0,575,70.145921746,1.21350225971e-05
0.0,0.00996759560449,0.999625366683,-31463.7887443,-3.35237865171e-16,0.0,94,1.47751350074e+14,0.0243455984248,-242075.775203,-5740.06511563,21819.4215171,-0.0243455984248,46504475.8483,32.6265519097,46504475.8483,0.0,547,67.0398102639,3.1048601755e-05
0.0,0.00995077732035,0.999571285754,-33803.2599382,-1.91148181963e-16,0.0,95,1.47566019179e+14,0.0217262083107,-588430.003886,-7277.8375739,42017.4808291,-0.0217262083107,114649463.603,32.6252967792,114649463.603,0.0,581,91.6590547909,1.57653343696e-05
0.0,0.00997871302133,0.99978144623,-57777.2820776,5.3867211668e-17,0.0,96,1.48280492786e+14,0.0149536583038,-15262233.4204,-11852.701223,638477.078984,-0.0149536583038,27455327979.6,32.6301268176,27455327979.6,0.0,569,58.8274716252,2.80039718081e-08
0.0,0.00996202488614,0.999853907105,-34755.9815265,1.32307878901e-17,0.0,97,1.48530630226e+14,0.0170177364809,-1040213.22391,-7673.82061129,59735.8424559,-0.0170177364809,168117280.34,32.631812317,168117280.34,0.0,566,71.2654141004,1.1789992954e-05
0.0,0.00996820248998,0.999947916532,-32621.4126338,-2.76945343661e-16,0.0,98,1.48855027344e+14,0.0178572959972,-832224.012864,-5816.60966285,39559.3536884,-0.0178572959972,114993598.155,32.6339939774,114993598.155,0.0,548,77.2418911545,1.05972603914e-05
0.0,0.0099772977236,1.00017622235,-30528.7150196,-7.04856966524e-17,0.0,99,1.49637922851e+14,0.0223892788234,-407353.276535,-5808.14297864,25881.1073705,-0.0223892788234,55044150.6562,32.6392396443,55044150.6562,0.0,569,68.0392266571,2.04294923065e-05
0.0,0.0099678386032,1.00015733183,-36349.5028561,-2.98006288162e-16,0.0,100,1.49572688956e+14,0.0183685085582,-1488398.36281,-6929.42318429,73500.8762736,-0.0183685085582,391679132.422,32.6388036044,391679132.422,0.0,566,101.371571438,4.31489149222e-06
0.0,0.00640923391828,1.0002047763,-36319.6775559,2.5954347886e-16,0.0,101,1.49735143002e+14,0.0138964331688,-3341382.17821,-6542.40394451,140244.961467,-0.0138964331688,1402794555.44,32.639889136,1402794555.44,0.0,571,113.991423871,1.0802729804e-06
