NumTrajs,vf_LossBefore,AveragePolicyStd,Entropy,LossBefore,Perplexity,AverageReturn,AverageDiscountedReturn,MeanKL,MaxReturn,ExplainedVariance,MeanKLBefore,vf_LossAfter,Iteration,vf_MeanKL,StdReturn,dLoss,vf_dLoss,LossAfter,MinReturn
260,718296315.396,1.0,32.6355862637,-1.51070663083e-16,1.4909223597e+14,-86159.6402783,-23744.8714605,0.00988677699251,-34332.5885083,-2.98189929637e-06,0.0,718296315.396,1,0.0,44061.8787647,0.00451993405721,0.0,-0.00451993405721,-279595.036143
259,795818863.857,0.999680813415,32.6282269456,2.45127813371e-16,1.47999046277e+14,-87154.2238321,-23925.3703214,0.00990045539742,-28437.5561545,-2.36317386904e-06,0.0,795818863.857,2,0.0,51815.3789239,0.00517922191256,0.0,-0.00517922191256,-396126.084088
259,578515828.398,0.999482810909,32.6236570348,-3.81252301286e-16,1.47324246895e+14,-76059.6159093,-21252.3922006,0.00983392565912,-23237.9450657,-3.65693345672e-06,0.0,578515828.398,3,0.0,42400.2290271,0.00379547479296,0.0,-0.00379547479296,-298068.964183
259,563659749.378,0.999030317128,32.6131887453,-4.35683235521e-16,1.4579005821e+14,-73636.045318,-20615.8061331,0.00641649989742,-23322.7166755,-5.62627387413e-06,0.0,563659749.378,4,0.0,43849.8069178,0.0029732752316,0.0,-0.00297327523161,-286097.107686
259,459058923.426,0.998819821175,32.6083244417,-3.96765417603e-17,1.45082613115e+14,-67779.7282595,-19183.0950528,0.00646385915881,-27829.8389471,-3.48306701592e-06,0.0,459058923.426,5,0.0,38222.7130741,0.00306827821885,0.0,-0.00306827821885,-382511.546745
259,382311517.353,0.998845299773,32.6088703365,4.20564484139e-16,1.45161834581e+14,-63691.6702168,-18214.5272009,0.00648757001944,-23504.539164,-5.46268988333e-06,0.0,382311517.353,6,0.0,32233.8745382,0.00356662256658,0.0,-0.00356662256658,-294825.528904
259,303596267.873,0.998494570053,32.6007245012,2.47789776685e-16,1.43984173208e+14,-58621.4626422,-16893.9261781,0.00643542317859,-32602.9629739,-7.14235670651e-06,0.0,303596267.873,7,0.0,26037.4497362,0.00360186797295,0.0,-0.00360186797295,-245407.831167
259,256929144.543,0.99892079978,32.6104911187,3.25861174166e-16,1.45397301069e+14,-56573.1269968,-16480.8460869,0.00643245731004,-30970.2082256,-4.42504522291e-06,0.0,256929144.543,8,0.0,19346.1401245,0.00336462105331,0.0,-0.00336462105331,-176148.232885
259,260441640.948,0.998408376113,32.5986876963,1.74986580352e-16,1.43691204002e+14,-55729.9423028,-16410.0991449,0.00956973788088,-28362.9958466,-7.53447729096e-06,0.0,260441640.948,9,0.0,22546.0199764,0.00385570859371,0.0,-0.00385570859371,-233250.286998
259,238746343.277,0.998169088128,32.5931032523,-2.78095864655e-16,1.42891004935e+14,-54110.6554192,-15842.0145011,0.00643709662877,-30649.4814085,-4.85447041521e-06,0.0,238746343.277,10,0.0,20194.6030642,0.00399072166408,0.0,-0.00399072166408,-181411.678697
259,216900896.961,0.998551147928,32.6018716081,3.49733112483e-16,1.44149433216e+14,-51521.1364112,-15238.9482999,0.00644453942676,-28827.7302744,-7.89690425829e-06,0.0,216900896.961,11,0.0,19894.3939941,0.00323438453436,0.0,-0.00323438453436,-264314.268289
259,235749108.687,0.998576739223,32.6023940166,-2.04268176805e-16,1.44224757775e+14,-52383.6147845,-15281.3784229,0.00661327759513,-25566.0963485,-6.61764127541e-06,0.0,235749108.687,12,0.0,22324.5185579,0.00353986404848,0.0,-0.00353986404848,-212240.319966
260,216030227.427,0.99847072525,32.5999763389,2.56275289245e-16,1.43876489969e+14,-50532.4946668,-14861.6612609,0.00998609874797,-27158.2656923,-9.46294460036e-06,0.0,216030227.427,13,0.0,20637.702926,0.0042310884994,0.0,-0.0042310884994,-231009.049485
259,175028786.08,0.998340202833,32.59692011,1.72543232383e-16,1.43437441735e+14,-46834.1744975,-14134.8635634,0.00651384539519,-27077.8845062,-1.0917033578e-05,0.0,175028786.08,14,0.0,16999.75131,0.00337933200062,0.0,-0.00337933200062,-176300.631789
259,194903887.385,0.99844157799,32.5992848963,-6.75504268566e-16,1.43777042023e+14,-48720.1620692,-14556.5993578,0.00994562221292,-24714.7501921,-1.09619979056e-05,0.0,194903887.385,15,0.0,18775.3018597,0.00398539776018,0.0,-0.00398539776018,-198021.90921
259,153014115.44,0.997884975757,32.5863315994,1.83774059891e-16,1.41926665423e+14,-44985.7578414,-13661.5121915,0.00975358337938,-27450.88654,-1.5105233969e-05,0.0,153014115.44,16,0.0,13405.4211633,0.0040413044188,0.0,-0.0040413044188,-155825.607506
259,150555918.209,0.998128283973,32.5919832975,7.51908188222e-17,1.42731063043e+14,-44276.3509136,-13560.3288373,0.00650458212367,-25940.9890743,-2.03638679142e-05,0.0,150555918.209,17,0.0,14938.4928868,0.00320367722328,0.0,-0.00320367722328,-143196.885206
259,147508379.008,0.998139579565,32.5921352243,-2.7180317199e-16,1.42752749362e+14,-43933.9310773,-13276.6815627,0.00987267068867,-22610.8112161,-1.28324633366e-05,0.0,147508379.008,18,0.0,13618.9963577,0.00422676226892,0.0,-0.00422676226892,-123411.859212
259,120301107.888,0.99789035832,32.5863973654,-1.64604494771e-16,1.41935999669e+14,-40719.4113053,-12527.5972454,0.00998072736607,-24775.0610746,-1.45962827323e-05,0.0,120301107.888,19,0.0,10255.1448649,0.00418173266264,0.0,-0.00418173266264,-90458.4534695
